Data Source	World Development Indicators							
								
Last Updated Date	1/25/18							
								
Country Name	Country Code	Indicator Name	Indicator Code	2011	2012	2013	2014	2015
Syrian Arab Republic	SYR	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS					
Turks and Caicos Islands	TCA	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS					
Chad	TCD	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	38.9	37.6	36.9	35.3	32.5
East Asia & Pacific (IDA & IBRD countries)	TEA	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	11.35797781	10.77273551	10.261054	9.858235911	9.815589197
Europe & Central Asia (IDA & IBRD countries)	TEC	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	3.852865166	3.72943298	3.628287569	3.574358039	3.556566144
Togo	TGO	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	19.8	18.1	15.7	13.3	11.5
Thailand	THA	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	8.8	8.5	8.5	8.5	9.5
Tajikistan	TJK	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	36.8	34.3	32	30.5	30.1
Turkmenistan	TKM	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	5.1	5.3	5.4	5.5	5.5
Latin America & the Caribbean (IDA & IBRD countries)	TLA	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	6.877269178	6.722823619	6.64915017	6.580521954	6.650433656
Timor-Leste	TLS	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	29.8	28.2	27.4	27	26.9
Middle East & North Africa (IDA & IBRD countries)	TMN	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	8.827214884	8.618521384	8.572638953	8.67396005	9.114472284
Tonga	TON	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS					
South Asia (IDA & IBRD)	TSA	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	16.34413804	16.25887939	16.05479842	15.78267129	15.29133836
Sub-Saharan Africa (IDA & IBRD countries)	TSS	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	19.30243094	19.36334803	19.30944914	19.4515441	20.15218567
Trinidad and Tobago	TTO	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	8.6	7.5	6.5	5.8	4.8
Tunisia	TUN	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	4.6	4.5	4.5	4.5	5
Turkey	TUR	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	2.5	2.5	2.5	2.5	2.5
Tuvalu	TUV	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS					
Tanzania	TZA	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	33.6	32.5	31.4	30.6	32.3
Uganda	UGA	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	31.8	32.9	34.5	36.4	39
Ukraine	UKR	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	2.5	2.5	2.5	2.5	2.5
Upper middle income	UMC	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	8.57910704	8.238782115	7.946738026	7.727118073	7.654813739
Uruguay	URY	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	2.5	2.5	2.5	2.5	2.5
United States	USA	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	2.5	2.5	2.5	2.5	2.5
Uzbekistan	UZB	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	7.9	7.2	6.7	6.5	6.3
St. Vincent and the Grenadines	VCT	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	6.4	6.1	6	6	6
"Venezuela, RB"	VEN	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	3.7	4.7	6.5	9.1	13
British Virgin Islands	VGB	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS					
Virgin Islands (U.S.)	VIR	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS					
Vietnam	VNM	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	13	12.4	11.9	11.2	10.7
Vanuatu	VUT	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	6.1	6.3	6.5	6.6	6.9
World	WLD	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	11.2	11	10.8	10.7	10.7
Samoa	WSM	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	3.3	3.1	3	3	3.2
Kosovo	XKX	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS					
"Yemen, Rep."	YEM	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	25	24.6	24.6	25.2	28.8
South Africa	ZAF	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	3.7	3.6	3.8	4	4.6
Zambia	ZMB	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	48.7	48.1	47.4	46.6	45.9
Zimbabwe	ZWE	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	32.7	34.1	37.3	41.3	44.7
